explored  time (s)  solution           fval        gap (%)                                         
 8280032   1153.61         1   1.000000e+01   9.999000e-03                                          
 8290032   1154.78         1   1.000000e+01   9.999000e-03                                          
 8300032   1156.12         1   1.000000e+01   9.999000e-03                                          
 8310032   1157.34         1   1.000000e+01   9.999000e-03                                          
 8320032   1158.60         1   1.000000e+01   9.999000e-03                                          
 8330032   1159.91         1   1.000000e+01   9.999000e-03                                          
 8340032   1161.26         1   1.000000e+01   9.999000e-03                                          
 8350032   1162.61         1   1.000000e+01   9.999000e-03                                          
 8360032   1164.00         1   1.000000e+01   9.999000e-03                                          
 8370032   1165.38         1   1.000000e+01   9.999000e-03                                          
 8380032   1166.76         1   1.000000e+01   9.999000e-03                                          
 8390032   1168.14         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 8400032   1169.49         1   1.000000e+01   9.999000e-03                                          
 8410032   1170.85         1   1.000000e+01   9.999000e-03                                          
 8420032   1172.16         1   1.000000e+01   9.999000e-03                                          
 8430032   1173.47         1   1.000000e+01   9.999000e-03                                          
 8440032   1174.75         1   1.000000e+01   9.999000e-03                                          
 8450032   1176.00         1   1.000000e+01   9.999000e-03                                          
 8460032   1177.25         1   1.000000e+01   9.999000e-03                                          
 8470032   1178.46         1   1.000000e+01   9.999000e-03                                          
 8480032   1179.68         1   1.000000e+01   9.999000e-03                                          
 8490032   1181.11         1   1.000000e+01   9.999000e-03                                          
 8500032   1182.60         1   1.000000e+01   9.999000e-03                                          
 8510032   1184.08         1   1.000000e+01   9.999000e-03                                          
 8520032   1185.89         1   1.000000e+01   9.999000e-03                                          
 8530032   1187.40         1   1.000000e+01   9.999000e-03                                          
 8540032   1188.96         1   1.000000e+01   9.999000e-03                                          
 8550032   1190.71         1   1.000000e+01   9.999000e-03                                          
 8560032   1191.99         1   1.000000e+01   9.999000e-03                                          
 8570032   1193.25         1   1.000000e+01   9.999000e-03                                          
 8580032   1194.47         1   1.000000e+01   9.999000e-03                                          
 8590032   1195.78         1   1.000000e+01   9.999000e-03                                          
 8600032   1197.17         1   1.000000e+01   9.999000e-03                                          
 8610032   1198.51         1   1.000000e+01   9.999000e-03                                          
 8620032   1199.83         1   1.000000e+01   9.999000e-03                                          
 8630032   1201.15         1   1.000000e+01   9.999000e-03                                          
 8640032   1202.41         1   1.000000e+01   9.999000e-03                                          
 8650032   1203.67         1   1.000000e+01   9.999000e-03                                          
 8660032   1204.90         1   1.000000e+01   9.999000e-03                                          
 8670032   1206.12         1   1.000000e+01   9.999000e-03                                          
 8680032   1207.31         1   1.000000e+01   9.999000e-03                                          
 8690032   1208.65         1   1.000000e+01   9.999000e-03                                          
 8700032   1209.93         1   1.000000e+01   9.999000e-03                                          
 8710032   1211.22         1   1.000000e+01   9.999000e-03                                          
