LP:                Optimal objective value is 1.968750.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
  370431     99.36         1   1.100000e+01   9.090083e-03                                          
  380431    102.01         1   1.100000e+01   9.090083e-03                                          
  390431    104.64         1   1.100000e+01   9.090083e-03                                          
  400431    107.27         1   1.100000e+01   9.090083e-03                                          
  410431    109.84         1   1.100000e+01   9.090083e-03                                          
  420431    112.40         1   1.100000e+01   9.090083e-03                                          
  430431    114.91         1   1.100000e+01   9.090083e-03                                          
  440431    117.39         1   1.100000e+01   9.090083e-03                                          
  450431    119.82         1   1.100000e+01   9.090083e-03                                          
  460431    122.21         1   1.100000e+01   9.090083e-03                                          
  470431    124.52         1   1.100000e+01   9.090083e-03                                          
  480431    126.67         1   1.100000e+01   9.090083e-03                                          
  484991    127.70         1   1.100000e+01   0.000000e+00                                          

Optimal solution found.

Intlinprog stopped because the objective value is within a gap tolerance of the optimal value; options.TolGapAbs = 0 (the
default value). The intcon variables are integer within tolerance, options.TolInteger = 1e-05 (the default value).

Gries_bound = 10, [k, d, n] = [6, 4, 11], x = [ 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1.000000e+00 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0]


LP:                Optimal objective value is 9.843750.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
      59      0.06         1   1.500000e+01   2.000533e+01                                          
     182      0.12         2   1.400000e+01   1.429184e+01                                          
   10182      3.60         2   1.400000e+01   7.149489e+00                                          
   20182      7.11         2   1.400000e+01   7.149489e+00                                          
   30182     10.53         2   1.400000e+01   7.149489e+00                                          
   40182     14.12         2   1.400000e+01   7.149489e+00                                          
   50182     17.66         2   1.400000e+01   7.149489e+00                                          
   60182     21.18         2   1.400000e+01   7.149489e+00                                          
   70182     24.59         2   1.400000e+01   7.149489e+00                                          
   80182     27.99         2   1.400000e+01   7.149489e+00                                          
   90182     31.43         2   1.400000e+01   7.149489e+00                                          
  100182     35.02         2   1.400000e+01   7.149489e+00                                          
  110182     38.67         2   1.400000e+01   7.149489e+00                                          
  120182     42.12         2   1.400000e+01   7.149489e+00                                          
  130182     45.49         2   1.400000e+01   7.149489e+00                                          
  140182     48.80         2   1.400000e+01   7.149489e+00                                          
  150182     52.09         2   1.400000e+01   7.149489e+00                                          
  160182     55.32         2   1.400000e+01   7.149489e+00                                          
  170182     58.24         2   1.400000e+01   7.149489e+00                                          
  180182     60.79         2   1.400000e+01   7.149489e+00                                          
  190182     63.06         2   1.400000e+01   7.149489e+00                                          
  200182     65.60         2   1.400000e+01   7.149489e+00                                          
  210182     67.86         2   1.400000e+01   7.149489e+00                                          
  220182     70.07         2   1.400000e+01   7.149489e+00                                          
  230182     72.59         2   1.400000e+01   7.149489e+00                                          
  240182     74.77         2   1.400000e+01   7.149489e+00                                          
  250182     76.92         2   1.400000e+01   7.149489e+00                                          
  260182     79.04         2   1.400000e+01   7.149489e+00                                          
  270182     81.15         2   1.400000e+01   7.149489e+00                                          
  280182     83.26         2   1.400000e+01   7.149489e+00                                          
  290182     85.66         2   1.400000e+01   7.149489e+00                                          
  300182     87.69         2   1.400000e+01   7.149489e+00                                          
  310182     89.68         2   1.400000e+01   7.149489e+00                                          
  320182     91.67         2   1.400000e+01   7.149489e+00                                          
  330182     93.60         2   1.400000e+01   7.149489e+00                                          
  340182     95.50         2   1.400000e+01   7.149489e+00                                          
  350182     97.38         2   1.400000e+01   7.149489e+00                                          
  360182     99.20         2   1.400000e+01   7.149489e+00                                          
  370182    101.01         2   1.400000e+01   7.149489e+00                                          
  380182    102.77         2   1.400000e+01   7.149489e+00                                          
  390182    104.46         2   1.400000e+01   7.149489e+00                                          
  400182    107.22         2   1.400000e+01   7.149489e+00                                          
  410182    110.00         2   1.400000e+01   7.149489e+00                                          
  420182    112.46         2   1.400000e+01   7.149489e+00                                          
  430182    114.89         2   1.400000e+01   7.149489e+00                                          
  440182    117.02         2   1.400000e+01   7.149489e+00                                          
  450182    119.18         2   1.400000e+01   7.149489e+00                                          
  460182    121.57         2   1.400000e+01   7.149489e+00                                          
  470182    123.65         2   1.400000e+01   7.149489e+00                                          
  480182    125.71         2   1.400000e+01   7.149489e+00                                          
  490182    128.12         2   1.400000e+01   7.149489e+00                                          
  500182    130.20         2   1.400000e+01   7.149489e+00                                          
  510182    132.26         2   1.400000e+01   7.149489e+00                                          
  520182    134.29         2   1.400000e+01   7.149489e+00                                          
  530182    136.30         2   1.400000e+01   7.149489e+00                                          
  540182    138.26         2   1.400000e+01   7.149489e+00                                          
  550182    140.21         2   1.400000e+01   7.149489e+00                                          
  560182    142.18         2   1.400000e+01   7.149489e+00                                          
  570182    144.10         2   1.400000e+01   7.149489e+00                                          
  580182    146.00         2   1.400000e+01   7.149489e+00                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
  590182    147.89         2   1.400000e+01   7.149489e+00                                          
  600182    149.75         2   1.400000e+01   7.149489e+00                                          
  610182    151.60         2   1.400000e+01   7.149489e+00                                          
  620182    153.44         2   1.400000e+01   7.149489e+00                                          
  630182    155.35         2   1.400000e+01   7.149489e+00                                          
  640182    157.14         2   1.400000e+01   7.149489e+00                                          
  650182    158.92         2   1.400000e+01   7.149489e+00                                          
  660182    160.70         2   1.400000e+01   7.149489e+00                                          
  670182    162.47         2   1.400000e+01   7.149489e+00                                          
  680182    164.21         2   1.400000e+01   7.149489e+00                                          
  690182    165.92         2   1.400000e+01   7.149489e+00                                          
  700182    167.61         2   1.400000e+01   7.149489e+00                                          
  710182    169.26         2   1.400000e+01   7.149489e+00                                          
  720182    170.87         2   1.400000e+01   7.149489e+00                                          
  730182    172.44         2   1.400000e+01   7.149489e+00                                          
  740182    173.93         2   1.400000e+01   7.149489e+00                                          
  750182    176.44         2   1.400000e+01   7.149489e+00                                          
  760182    178.92         2   1.400000e+01   7.149489e+00                                          
  770182    181.32         2   1.400000e+01   7.149489e+00                                          
  780182    183.47         2   1.400000e+01   7.149489e+00                                          
  790182    185.67         2   1.400000e+01   7.149489e+00                                          
  800182    188.10         2   1.400000e+01   7.149489e+00                                          
  810182    190.27         2   1.400000e+01   7.149489e+00                                          
  820182    192.41         2   1.400000e+01   7.149489e+00                                          
  830182    194.56         2   1.400000e+01   7.149489e+00                                          
  840182    196.70         2   1.400000e+01   7.149489e+00                                          
  850182    199.15         2   1.400000e+01   7.149489e+00                                          
  860182    201.33         2   1.400000e+01   7.149489e+00                                          
  870182    203.46         2   1.400000e+01   7.149489e+00                                          
  880182    205.56         2   1.400000e+01   7.149489e+00                                          
  890182    207.65         2   1.400000e+01   7.149489e+00                                          
  900182    209.71         2   1.400000e+01   7.149489e+00                                          
